method	taxid
cmsearch_rfamlit1_mid	157687
cmsearch_rfamlit1_mid	158836
cmsearch_rfamlit1_mid	180163
cmsearch_rfamlit1_mid	180868
cmsearch_rfamlit1_mid	180893
cmsearch_rfamlit1_mid	180896
cmsearch_rfamlit1_mid	189201
cmsearch_rfamlit1_mid	221276
cmsearch_rfamlit1_mid	251653
cmsearch_rfamlit1_mid	257985
cmsearch_rfamlit1_mid	257986
cmsearch_rfamlit1_mid	299766
cmsearch_rfamlit1_mid	301102
cmsearch_rfamlit1_mid	315730
cmsearch_rfamlit1_mid	339658
cmsearch_rfamlit1_mid	350688
cmsearch_rfamlit1_mid	393480
cmsearch_rfamlit1_mid	405416
cmsearch_rfamlit1_mid	469605
cmsearch_rfamlit1_mid	469617
cmsearch_rfamlit1_mid	470934
cmsearch_rfamlit1_mid	497978
cmsearch_rfamlit1_mid	525242
cmsearch_rfamlit1_mid	525254
cmsearch_rfamlit1_mid	525255
cmsearch_rfamlit1_mid	527020
cmsearch_rfamlit1_mid	527021
cmsearch_rfamlit1_mid	527023
cmsearch_rfamlit1_mid	556263
cmsearch_rfamlit1_mid	570416
cmsearch_rfamlit1_mid	573058
cmsearch_rfamlit1_mid	580165
cmsearch_rfamlit1_mid	596323
cmsearch_rfamlit1_mid	637971
cmsearch_rfamlit1_mid	655811
cmsearch_rfamlit1_mid	696749
cmsearch_rfamlit1_mid	714315
cmsearch_rfamlit1_mid	862517
cmsearch_rfamlit1_mid	866773
cmsearch_rfamlit1_mid	866779
cmsearch_rfamlit1_mid	869688
cmsearch_rfamlit1_mid	886886
cmsearch_rfamlit1_mid	886888
cmsearch_rfamlit1_mid	889738
cmsearch_rfamlit1_mid	903894
cmsearch_rfamlit1_mid	903896
cmsearch_rfamlit1_mid	903903
cmsearch_rfamlit1_mid	903911
cmsearch_rfamlit1_mid	903920
cmsearch_rfamlit1_mid	903922
cmsearch_rfamlit1_mid	903934
cmsearch_rfamlit1_mid	903936
cmsearch_rfamlit1_mid	908338
cmsearch_rfamlit1_mid	933263
cmsearch_rfamlit1_mid	945555
cmsearch_rfamlit1_mid	981329
cmsearch_rfamlit1_mid	992402
cmsearch_rfamlit1_mid	992403
cmsearch_rfamlit1_mid	992404
cmsearch_rfamlit1_mid	992405
cmsearch_rfamlit1_mid	1033733
cmsearch_rfamlit1_mid	1033744
cmsearch_rfamlit1_mid	1050201
cmsearch_rfamlit1_mid	1094477
cmsearch_rfamlit1_mid	1094478
cmsearch_rfamlit1_mid	1094479
cmsearch_rfamlit1_mid	1094480
cmsearch_rfamlit1_mid	1094481
cmsearch_rfamlit1_mid	1094482
cmsearch_rfamlit1_mid	1094484
cmsearch_rfamlit1_mid	1094486
cmsearch_rfamlit1_mid	1094487
cmsearch_rfamlit1_mid	1094488
cmsearch_rfamlit1_mid	1095747
cmsearch_rfamlit1_mid	1096995
cmsearch_rfamlit1_mid	1096997
cmsearch_rfamlit1_mid	1100841
cmsearch_rfamlit1_mid	1100842
cmsearch_rfamlit1_mid	1100843
cmsearch_rfamlit1_mid	1100844
cmsearch_rfamlit1_mid	1100845
cmsearch_rfamlit1_mid	1100846
cmsearch_rfamlit1_mid	1116066
cmsearch_rfamlit1_mid	1116067
cmsearch_rfamlit1_mid	1116068
cmsearch_rfamlit1_mid	1116069
cmsearch_rfamlit1_mid	1116070
cmsearch_rfamlit1_mid	1116071
cmsearch_rfamlit1_mid	1116072
cmsearch_rfamlit1_mid	1116073
cmsearch_rfamlit1_mid	1116074
cmsearch_rfamlit1_mid	1116075
cmsearch_rfamlit1_mid	1116076
cmsearch_rfamlit1_mid	1116077
cmsearch_rfamlit1_mid	1116078
cmsearch_rfamlit1_mid	1116079
cmsearch_rfamlit1_mid	1116236
cmsearch_rfamlit1_mid	1118062
cmsearch_rfamlit1_mid	1121925
cmsearch_rfamlit1_mid	1122128
cmsearch_rfamlit1_mid	1122949
cmsearch_rfamlit1_mid	1125641
cmsearch_rfamlit1_mid	1125642
cmsearch_rfamlit1_mid	1125643
cmsearch_rfamlit1_mid	1136173
cmsearch_rfamlit1_mid	1161424
cmsearch_rfamlit1_mid	1168588
cmsearch_rfamlit1_mid	1168591
cmsearch_rfamlit1_mid	1195464
cmsearch_rfamlit1_mid	1200350
cmsearch_rfamlit1_mid	1200351
cmsearch_rfamlit1_mid	1215074
cmsearch_rfamlit1_mid	1216295
cmsearch_rfamlit1_mid	1217636
cmsearch_rfamlit1_mid	1217642
cmsearch_rfamlit1_mid	1217645
cmsearch_rfamlit1_mid	1217646
cmsearch_rfamlit1_mid	1217705
cmsearch_rfamlit1_mid	1217706
cmsearch_rfamlit1_mid	1219626
cmsearch_rfamlit1_mid	1221245
cmsearch_rfamlit1_mid	1221248
cmsearch_rfamlit1_mid	1221251
cmsearch_rfamlit1_mid	1221255
cmsearch_rfamlit1_mid	1221256
cmsearch_rfamlit1_mid	1221259
cmsearch_rfamlit1_mid	1221262
cmsearch_rfamlit1_mid	1221264
cmsearch_rfamlit1_mid	1221265
cmsearch_rfamlit1_mid	1221266
cmsearch_rfamlit1_mid	1221268
cmsearch_rfamlit1_mid	1221271
cmsearch_rfamlit1_mid	1221272
cmsearch_rfamlit1_mid	1221275
cmsearch_rfamlit1_mid	1221276
cmsearch_rfamlit1_mid	1221277
cmsearch_rfamlit1_mid	1221282
cmsearch_rfamlit1_mid	1221283
cmsearch_rfamlit1_mid	1221284
cmsearch_rfamlit1_mid	1221285
cmsearch_rfamlit1_mid	1221286
cmsearch_rfamlit1_mid	1221290
cmsearch_rfamlit1_mid	1222031
cmsearch_rfamlit1_mid	1223564
cmsearch_rfamlit1_mid	1224141
cmsearch_rfamlit1_mid	1224165
cmsearch_rfamlit1_mid	1224166
cmsearch_rfamlit1_mid	1238885
cmsearch_rfamlit1_mid	1240085
cmsearch_rfamlit1_mid	1261129
cmsearch_rfamlit1_mid	1279365
cmsearch_rfamlit1_mid	1293574
cmsearch_rfamlit1_mid	1294025
cmsearch_rfamlit1_mid	1296536
cmsearch_rfamlit1_mid	1310554
cmsearch_rfamlit1_mid	1310555
